title,price_inr,star_rating
Set Me Free,1842.0300000000002,5.0
A Fierce and Subtle Poison,2967.7149999999997,4.0
Scarlett Epstein Hates It Here,4594.525,5.0
Library of Souls (Miss Peregrine’s Peculiar Children #3),5123.08,5.0
Frostbite (Vampire Academy #2),3163.9449999999997,5.0
The Darkest Lie,3729.425,5.0
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),6133.77,4.0
The Epidemic (The Program 0.6),1523.4199999999998,5.0
No Love Allowed (Dodge Cove #1),5765.575,4.0
"Exit, Pursued by a Bear",5416.370000000001,4.0
My Life Next Door (My Life Next Door ),3839.145,5.0
Future Shock (Future Shock #1),5871.075,5.0
Nightstruck: A Novel,5311.925,4.0
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",4991.205,4.0
Where She Went (If I Stay #2),4402.514999999999,4.0
The Darkest Corners,1195.315,5.0
Lola and the Boy Next Door (Anna and the French Kiss #2),2492.9649999999997,4.0
Kill the Boy Band,1637.36,5.0
Isla and the Happily Ever After (Anna and the French Kiss #3),5077.715,5.0
An Abundance of Katherines,1055.0,5.0
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),2549.9350000000004,4.0
"The Land of 10,000 Madonnas",3127.02,4.0
Scarlet (The Lunar Chronicles #2),1537.135,4.0
Legend (Legend #1),4609.295,4.0
Lady Renegades (Rebel Belle #3),5595.72,5.0
Golden (Heart of Dread #3),4453.155,4.0
Annie on My Mind,3885.5649999999996,5.0
New Moon (Twilight #2),1356.73,4.0
The Haters,2942.395,5.0
The Art of Not Breathing,4307.565,4.0
Rip it Up and Start Again,3694.61,5.0
Please Kill Me: The Uncensored Oral History of Punk,3290.545,4.0
Kill 'Em and Leave: Searching for James Brown and the American Soul,4752.775,5.0
No One Here Gets Out Alive,2112.11,5.0
Life,3331.6899999999996,5.0
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",2520.395,4.0
Modern Romance,2981.4300000000003,5.0
The White Queen (The Cousins' War #1),2733.505,5.0
The Song of Achilles,3945.7,5.0
Code Name Verity (Code Name Verity #1),2334.7149999999997,4.0
Cell,2140.595,4.0
Rook,3994.23,4.0
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,6240.325,4.0
One with You (Crossfire #5),1657.4050000000002,4.0
Without Shame,5092.485000000001,5.0
Watchmen,6124.275,4.0
Team of Rivals: The Political Genius of Abraham Lincoln,2122.6600000000003,5.0
John Adams,6058.865,4.0
Good in Bed (Cannie Shapiro #1),3908.7749999999996,5.0
The Joy of Cooking,4564.985000000001,4.0
Pride and Prejudice,2032.985,4.0
Fun Home: A Family Tragicomic,5970.245000000001,4.0
"The End of Faith: Religion, Terror, and the Future of Reason",2334.7149999999997,4.0
The Complete Poems,4359.26,5.0
The Blind Side: Evolution of a Game,5666.405,5.0
Fire Bound (Sea Haven/Sisters of the Heart #5),2245.04,4.0
(Un)Qualified: How God Uses Broken People to Do Big Things,5697.0,5.0
Redeeming Love,2159.585,5.0
Close to You,5218.03,4.0
Shadows of the Past (Logan Point #1),4185.185,5.0
Counted With the Stars (Out from Egypt #1),1895.8349999999998,5.0
If I Run (If I Run #1),5271.835,4.0
Princess Between Worlds (Wide-Awake Princess #5),1407.37,5.0
The Star-Touched Queen,4855.110000000001,5.0
The Bane Chronicles (The Bane Chronicles #1-11),4719.014999999999,4.0
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),3957.305,5.0
City of Glass (The Mortal Instruments #3),5910.110000000001,4.0
The Star-Touched Queen,3407.6499999999996,5.0
King's Folly (The Kinsman Chronicles #1),4178.855,5.0
Every Heart a Doorway (Every Heart A Doorway #1),1282.88,5.0
A Gathering of Shadows (Shades of Magic #2),4727.455,4.0
The Raven Boys (The Raven Cycle #1),6091.570000000001,4.0
The False Prince (The Ascendance Trilogy #1),5908.0,5.0
A Feast for Crows (A Song of Ice and Fire #4),1815.6550000000002,4.0
The Beast (Black Dagger Brotherhood #14),4861.44,5.0
Paper and Fire (The Great Library #2),5216.975,5.0
Harry Potter and the Order of the Phoenix (Harry Potter #5),3336.9649999999997,4.0
Harry Potter and the Half-Blood Prince (Harry Potter #6),5143.125,5.0
The Rose & the Dagger (The Wrath and the Dawn #2),6186.52,4.0
Heir to the Sky,4649.385,4.0
Ash,2327.33,4.0
Shadow Rites (Jane Yellowrock #10),2291.46,4.0
Myriad (Prentor #1),6198.125,4.0
Dark Notes,2024.545,5.0
